category,brand,asin,revenue,units,bsr
Rosemary,UrbanBotanics,B07Y2BT66G,1222147,1943,1475
Rosemary,DABUR,B0982CQFPT,376920,2792,1638
Rosemary,Ustraa,B077XJCW9P,388800,2025,1706
Rosemary,Parachute Advansed,B0BFDPQHQ7,346300.5,1677,1748
Rosemary,Parachute Advansed,B0824B9GLL,464238.9,2070,1750
Rosemary,Tyche,B0CTX3K4HK,193612,388,1751
Rosemary,Himalaya,B0063OQJJI,297360,1475,1789
Rosemary,DABUR,B0B12MBSF9,309424.5,1551,1838
Rosemary,Kama,B00SUTAE6S,2485010,1558,1849
Rosemary,Mamaearth,B0CTHT3PPB,461732,1297,1876
Rosemary,Biotique,B08JR2SGJL,294063,1273,1933
Rosemary,WishCare,B07KSW7X5G,432752,1591,1943
Rosemary,Baidyanath,B08RK745KP,412056,1746,1977
Rosemary,WOW,B0CCHV3J5W,938336,1888,1491
Rosemary,KLF Nirmal,B0164FEEGU,147000,840,2058
Rosemary,VegHerbs,B0CJM85LYX,806000,1612,2068
Rosemary,BRILLARE,B0C4FHM16M,304556,2044,1982
Rosemary,Traya,B0BJX8MHXW,513648,1189,2082
Rosemary,UrbanBotanics,B07N87S9T8,445016,1144,2087
Rosemary,AVIMEE,B0C8CZNMGX,198341,949,2102
Rosemary,Bajaj,B09N9T3RPY,348172,2123,2112
Rosemary,Phalada Pure & Sure,B00M711DFQ,142632,1132,2146
Rosemary,Moroccanoil,B001AO0WCG,4446630,1149,2150
Rosemary,DABUR,B013UPR9IC,200564,1102,2152
Rosemary,WishCare,B07DHGLKBW,502199,1291,2183
Rosemary,MARIYAS HERBAL HAIR CARE OIL,B0C4FBQCYK,0,521,2253
Rosemary,Sib,B0CVBH8KJB,406368,1632,2259
Rosemary,DABUR,B00NYZ4I7O,101884.64,793,2327
Rosemary,ThriveCo,B0CNVTLVJ5,283039,811,2331
Rosemary,Khadi Natural,B073PBQ137,174720,1092,2335
Rosemary,DABUR,B07SNCZBM4,95237,727,2340
Rosemary,Mamaearth,B07Y53R164,282100,1085,2347
Rosemary,Indulekha,B072N2CBBP,579284,2986,2375
Rosemary,Kottakkal ayurveda,B09WYS3KFJ,121350,809,2431
Rosemary,Wrixty,B0CW66RDY8,138902,698,2504
