word,brand,frequency,analysis
since,Aquaguard,18,Negative
tds,HUL Pureit,18,Positive
tds,Native by UC,18,Positive
us,Aquaguard,18,Negative
using,AQUA D PURE,18,Positive
warranty,Aquaguard,18,Positive
well,AO Smith,18,Positive
well,KENT,18,Positive
,HUL Pureit,17,Negative
10,Aquaguard,17,Negative
5,Aquaguard,17,Negative
better,Aquaguard,17,Positive
better,Livpure,17,Positive
buy,Havells,17,Negative
day,KENT,17,Positive
easy,AQUA D PURE,17,Positive
even,Aquaguard,17,Positive
excellent,KENT,17,Positive
excellent,Kinsco,17,Positive
fast,KENT,17,Positive
filter,Havells,17,Positive
fine,Aquaguard,17,Positive
first,Aquaguard,17,Negative
free,KENT,17,Negative
get,KENT,17,Negative
great,PROVEN,17,Positive
happy,PROVEN,17,Positive
like,Aquaguard,17,Negative
loaded,HUL Pureit,17,Negative
maintenance,KENT,17,Negative
media,HUL Pureit,17,Negative
months,HUL Pureit,17,Negative
months,Livpure,17,Negative
one,HUL Pureit,17,Negative
one,RAMA,17,Negative
price,Livpure,17,Positive
problem,Aquaguard,17,Negative
product,BRITA,17,Positive
purchased,Livpure,17,Positive
purifier,AquaDart,17,Positive
recommend,HUL Pureit,17,Positive
repair,Aquaguard,17,Negative
replacement,Aquaguard,17,Negative
say,KENT,17,Negative
taste,Aquatec plus,17,Positive
tds,RAMA,17,Positive
thanks,Aquaguard,17,Positive
value,Havells,17,Positive
water,AQUA D PURE,17,Negative
without,Aquaguard,17,Negative
without,KENT,17,Negative
working,HUL Pureit,17,Negative
works,Kinsco,17,Positive
worst,Faber,17,Negative
worth,Kinsco,17,Positive
would,KENT,17,Negative
year,Livpure,17,Positive
,KENT,16,Positive
&,KENT,16,Negative
10,KENT,16,Negative
2,Livpure,16,Negative
also,RAMA,16,Positive
amazon,HUL Pureit,16,Positive
bad,HUL Pureit,16,Negative
best,AO Smith,16,Positive
best,AQUA D PURE,16,Positive
best,Native by UC,16,Positive
better,KENT,16,Positive
budget,PROVEN,16,Positive
call,Livpure,16,Negative
candles,RAMA,16,Negative
changed,KENT,16,Negative
company,HUL Pureit,16,Positive
cost,KENT,16,Positive
could,Livpure,16,Negative
could,Livpure,16,Positive
customer,Havells,16,Positive
customer,Kinsco,16,Positive
days,Aquaguard,16,Positive
