asin,sales,date
B0BJQLQCXP,33150,17-04-2024
B0CRKLYWMP,2477255,17-04-2024
B0CQ8V4M4F,58032,17-04-2024
B08332DH87,122070,17-04-2024
B0BPBWM2L7,20370,17-04-2024
B0CRKSS2LT,36920,17-04-2024
B0CYQ8CTTY,0,17-04-2024
B0BQ6H5FHL,10790,17-04-2024
B0BMLJDTCS,3825,17-04-2024
B0C2KVNLDD,25185,17-04-2024
B092ZXL7JL,49203,17-04-2024
B0CGHSCCDK,5390,17-04-2024
B0CYSN9JZB,0,17-04-2024
B0CY5J1LK4,0,17-04-2024
B0CJ3BTGC7,17964,17-04-2024
B0CW2XB2GH,0,17-04-2024
B09Y69JGBX,8932,17-04-2024
B0CZ6S4VSX,0,17-04-2024
B0CT8XXZ22,90240,17-04-2024
B0844KPYBK,0,17-04-2024
B0C8Z5H858,16530,17-04-2024
B0CD5X9GYV,1500,17-04-2024
B07RGPFMY1,8400,17-04-2024
B0CGVFZDFY,0,17-04-2024
B0CJY5NWWQ,3120,17-04-2024
B0CPBWZFWS,14658,17-04-2024
B07Z53M2YQ,0,17-04-2024
B0BWK2NLLK,8512,17-04-2024
B0CX8S4D59,0,17-04-2024
B0CYQ4FFVY,0,17-04-2024
B0D11PYSV2,0,17-04-2024
B0CQXKPQRG,4600,17-04-2024
B0BLRFDHJ4,0,17-04-2024
B0CQ8WF293,4233,17-04-2024
B0CJVKMSCC,450,17-04-2024
B0CQ8W58KH,0,17-04-2024
B0CL8Y7V24,2392,17-04-2024
B0CYLQYBGN,0,17-04-2024
B0CWRKDCQH,760,17-04-2024
B0BGHHDZMT,0,17-04-2024
B0CVDMCMBZ,0,17-04-2024
B0CR1DLS4S,800,17-04-2024
B0CLV2JRKM,338,17-04-2024
B0CSWMVTH2,0,17-04-2024
B0CL4397YN,0,17-04-2024
B0CZ9D4DF2,0,17-04-2024
B0CNVYY2BB,0,17-04-2024
B09X5P8QD6,0,17-04-2024
B0CMD9S1V3,269,17-04-2024
B0CY3K2RCJ,0,17-04-2024
B09224YPDF,0,17-04-2024
B0CW1VHLYG,0,17-04-2024
B0CSZ4BXTJ,980,17-04-2024
B0CL44S4YX,0,17-04-2024
B0CTT7T521,0,17-04-2024
B0CL42V1GN,0,17-04-2024
B0CY51FLY9,0,17-04-2024
B0CQXHJ9W2,0,17-04-2024
B0CJPY94MJ,0,17-04-2024
B0CDFZYRKQ,0,17-04-2024
B0CVL5JMCF,0,17-04-2024
B0CSWH4G3Y,0,17-04-2024
B0CK5V3F5F,0,17-04-2024
B0CQG85MV3,0,17-04-2024
B0CQDSH6WV,0,17-04-2024
B0CDC33HF5,0,17-04-2024
B0BL3TN1QC,9471230,17-04-2024
B09BZNDYT2,5688306,17-04-2024
B0BPLVZRNZ,3145886,17-04-2024
B00JNQLIYY,1200400,17-04-2024
B09TFQ9TLZ,4229685,17-04-2024
B0C2PK2KH5,4738104,17-04-2024
B08V326J31,1269456,17-04-2024
B08DKH5M7M,1889109,17-04-2024
B0BXLDHJWZ,312374,17-04-2024
B0CGDZRZ99,837501,17-04-2024
B09DL9WKD4,537477,17-04-2024
B0CL6DDCQT,1081846,17-04-2024
B0B46PNTMB,979475,17-04-2024
B09D83RMVK,1091907,17-04-2024
B0BX9YH3BH,839025,17-04-2024
B07KPGKDB7,1285895,17-04-2024
B0B5GV4BPC,369228,17-04-2024
B0BFRLGXFB,466854,17-04-2024
B0CHY6JVFS,290329,17-04-2024
B0C8PMXP8Z,388611,17-04-2024
B0CP1Z6MQS,483228,17-04-2024
B00CAN517W,69237,17-04-2024
B0B39FVSZG,261767,17-04-2024
B097JWDXHD,786213,17-04-2024
B07DH65291,954184,17-04-2024
B0CJVL4LDG,110330,17-04-2024
B082QJR2CN,250981,17-04-2024
B0C2CWDJ24,250635,17-04-2024
B00JNR48K4,72979,17-04-2024
B0C3WBF6S8,86193,17-04-2024
B0BH178QDW,215195,17-04-2024
B01M9JNYBB,65424,17-04-2024
B0C285Y7DH,206586,17-04-2024
B0B6P8XCZ2,87125,17-04-2024
B0CB3F1945,146615,17-04-2024
B07DSY5R7G,222950,17-04-2024
B0CDQ7M6FZ,54963,17-04-2024
B0CPM234M9,334521,17-04-2024
B0C2CWMTDG,125828,17-04-2024
B0CHFR2YYK,64173,17-04-2024
B08YF532BP,85828,17-04-2024
B0BRN1X68P,48804,17-04-2024
B09Y4S7LB5,24960,17-04-2024
B0BL6SDDZM,188685,17-04-2024
B0CMX1976L,265397,17-04-2024
B082F664NN,158136,17-04-2024
B0CQG21ZQ5,193968,17-04-2024
B0CGLRJ4J3,108000,17-04-2024
B09B9W2WVD,120228,17-04-2024
B00I7TK64Q,21863,17-04-2024
B0CS913VR9,124800,17-04-2024
B0CJR62RKT,39421,17-04-2024
B0C3DFYPQG,144557,17-04-2024
B0CPC5LRGY,0,17-04-2024
B0C2CX7Z3J,224775,17-04-2024
B0CRRXPWX8,266760,17-04-2024
B07F8QFPKZ,74534,17-04-2024
B0C46QGF1D,54391,17-04-2024
B0B97FKVX8,96701,17-04-2024
B07W7CTLD1,3961536,02-02-2024
B0CHPS5XNR,17685,17-04-2024
B0CP1XCFST,110889,17-04-2024
B0924K5YS1,18870,17-04-2024
B09DTD37SY,115983,17-04-2024
